Date,FR001,FR007,FR014,FDR001,FDR007,FDR014,Shibor_O/N,Shibor_1W,Shibor_1M,Shibor_3M,Shibor_6M,Shibor_9M,Shibor_1Y
42850,2.8,3.44,4.5,,,,2.7514,2.814,4.01,4.2839,4.3288,4.2217,4.2228
42849,2.75,3.44,4.6,,,,2.7157,2.79,4.01,4.2789,4.3276,4.2164,4.2175
42846,2.65,3.44,4.2,,,,2.6163,2.76,4.0095,4.2781,4.3254,4.2139,4.2145
42845,2.6,3.6,3.66,,,,2.5987,2.758,4.005,4.2725,4.3242,4.2096,4.2121
42844,2.6,3.8,3.65,,,,2.575,2.752,4.0008,4.2661,4.3225,4.2069,4.2113
42843,2.5,3.4,3.8,,,,2.486,2.7175,3.9978,4.2621,4.3145,4.1999,4.2023
42842,2.45,3.44,3.7,,,,2.444,2.69,3.9972,4.2609,4.3148,4.1989,4.2022
42839,2.4,2.9,3.4,,,,2.429,2.674,3.9972,4.2634,4.3177,4.1989,4.2013
42838,2.41,2.9,3.4,,,,2.413,2.6566,4.0016,4.2631,4.3166,4.1987,4.2022
42837,2.37,3,3.1,,,,2.3885,2.6631,4.0132,4.2653,4.316,4.1968,4.2011
42836,2.38,2.8,3.3,,,,2.408,2.687,4.0382,4.2774,4.322,4.1975,4.201
42835,2.4,2.9,3.2,,,,2.442,2.707,4.0746,4.2906,4.332,4.1977,4.201
42832,2.47,3,3.1,,,,2.4957,2.741,4.118,4.301,4.339,4.197,4.2
42831,2.55,3.4,3.5,,,,2.537,2.7506,4.1783,4.3183,4.345,4.197,4.2
42830,2.45,2.9,3,,,,2.4868,2.74,4.2525,4.3355,4.347,4.197,4.2
42826,2.45,2.65,3,,,,2.497,2.778,4.317,4.3642,4.351,4.197,4.2
42825,2.52,4.5,5.2,,,,2.5384,2.85,4.3501,4.393,4.35,4.195,4.2
42824,2.47,3.11,6.3,,,,2.507,2.821,4.3843,4.3995,4.349,4.1942,4.2006
42823,2.5,3.5,5.2,,,,2.521,2.81,4.3955,4.4135,4.353,4.1919,4.1952
42822,2.4,2.72,4.9,,,,2.448,2.791,4.4105,4.423,4.356,4.1883,4.1918
42821,2.4,3.2,3.5,,,,2.482,2.7993,4.4296,4.4364,4.3597,4.1829,4.1874
42818,2.55,3.2,5,,,,2.604,2.784,4.4581,4.4516,4.3663,4.1788,4.1835
42817,2.7,3.44,4.1,,,,2.657,2.807,4.4475,4.4396,4.3592,4.1772,4.1717
42816,2.65,5,4.2,,,,2.6507,2.791,4.3959,4.4077,4.346,4.1713,4.1649
42815,2.6,5.5,4.8,,,,2.6477,2.768,4.3558,4.3846,4.3218,4.1621,4.1559
42814,2.61,3.85,4,,,,2.6325,2.7471,4.3172,4.3711,4.3091,4.1504,4.1435
42811,2.7,3.44,4.3,,,,2.633,2.725,4.2775,4.3507,4.2909,4.134,4.1246
42810,2.4,3.8,3.7,,,,2.441,2.6938,4.2218,4.3267,4.2581,4.1094,4.1052
42809,2.36,3,3.6,,,,2.3869,2.656,4.1537,4.2933,4.2205,4.0837,4.0818
42808,2.35,3,3.5,,,,2.3761,2.652,4.1343,4.2925,4.2146,4.0764,4.0678
42807,2.33,2.9,3.5,,,,2.379,2.649,4.1226,4.2925,4.2054,4.0648,4.0614
42804,2.37,2.8,3.3,,,,2.4019,2.655,4.1153,4.2942,4.2031,4.0604,4.0551
42803,2.39,3,3.45,,,,2.4076,2.659,4.1126,4.2943,4.201,4.0567,4.0539
42802,2.4,3.1,3.45,,,,2.4061,2.655,4.1052,4.2932,4.201,4.0527,4.0536
42801,2.4,3.3,3.6,,,,2.4041,2.644,4.1016,4.2918,4.201,4.0516,4.0527
42800,2.4,2.9,3.5,,,,2.4033,2.646,4.0951,4.2925,4.201,4.051,4.0511
42797,2.3,2.8,3.3,,,,2.369,2.659,4.0851,4.2905,4.2002,4.0499,4.051
42796,2.45,3.1,3.65,,,,2.4611,2.732,4.083,4.2904,4.2,4.0487,4.0492
42795,2.5,3.24,4,,,,2.4943,2.729,4.0763,4.2881,4.1998,4.0454,4.0497
42794,2.5,3,4,,,,2.493,2.728,4.08,4.2841,4.196,4.0437,4.0467
42793,2.4,2.6,4,,,,2.4338,2.711,4.082,4.2804,4.1922,4.0353,4.0407
42790,2.44,3.34,3.69,,,,2.4756,2.725,4.091,4.2829,4.19,4.0334,4.0362
42789,2.55,3.34,3.85,,,,2.5271,2.716,4.093,4.284,4.1881,4.0245,4.0305
42788,2.5,3.03,4.5,,,,2.4845,2.706,4.085,4.2778,4.1824,4.0155,4.0225
42787,2.55,3.3,4.15,,,,2.483,2.691,4.082,4.2704,4.1755,4.0091,4.0102
42786,2.44,3.34,4.1,,,,2.4086,2.675,4.075,4.2622,4.1665,4.0057,4.0064
42783,2.4,3.34,3.8,,,,2.36,2.664,4.0652,4.2567,4.1567,4.0007,4.0005
42782,2.37,2.83,4,,,,2.333,2.6435,4.0516,4.2518,4.1463,3.9924,3.9906
42781,2.26,3.34,3.69,,,,2.2658,2.627,4.0312,4.2394,4.1381,3.9835,3.9846
42780,2.236,2.68,3.6,,,,2.261,2.6208,4.016,4.2148,4.1012,3.9668,3.968
42779,2.23,2.6,3,,,,2.264,2.623,4.0052,4.2029,4.07,3.9503,3.953
42776,2.25,2.6,3.2,,,,2.2678,2.6233,3.9938,4.1727,4.0217,3.9288,3.9352
42775,2.25,2.65,3.08,,,,2.272,2.634,3.9839,4.144,4.0045,3.9084,3.9168
42774,2.25,2.9,3.46,,,,2.2765,2.633,3.9601,4.1094,3.9722,3.8882,3.9019
42773,2.27,2.6,3.6,,,,2.281,2.6283,3.9304,4.016,3.9429,3.8751,3.882
42772,2.27,2.55,3.3,,,,2.278,2.628,3.9031,3.9497,3.9195,3.847,3.8542
42770,2.25,2.5,3,,,,2.2571,2.648,3.8907,3.9348,3.9039,3.8092,3.8214
42769,2.16,2.7,3,,,,2.218,2.652,3.8761,3.9175,3.878,3.7705,3.786
42761,2.6,2.7,3.55,,,,2.5293,2.691,3.851,3.8706,3.8377,3.7233,3.7396
42760,2.13,2.6,3.6,,,,2.165,2.684,3.8295,3.8551,3.8146,3.7005,3.7136
42759,2.13,2.85,3.59,,,,2.164,2.662,3.8142,3.8401,3.7802,3.6787,3.6905
42758,2.14,2.45,3.59,,,,2.175,2.637,3.8118,3.8401,3.774,3.6666,3.6847
42757,2.11,2.55,3.3,,,,2.189,2.607,3.808,3.8301,3.7628,3.6557,3.677
42755,2.37,3,3.1,,,,2.376,2.593,3.8196,3.8213,3.7427,3.647,3.6691
42754,2.72,2.5,3.6,,,,2.364,2.538,3.7951,3.803,3.7369,3.6398,3.6602
42753,2.7,3.2,3.35,,,,2.328,2.5042,3.7502,3.7491,3.6982,3.6272,3.6513
42752,2.4,2.33,3.599,,,,2.2563,2.4666,3.7116,3.7222,3.6812,3.6117,3.6321
42751,2.15,2.55,2.6,,,,2.142,2.4239,3.6852,3.7018,3.6617,3.5968,3.6102
42748,2.1,2.4,2.7,,,,2.104,2.398,3.6718,3.6874,3.6461,3.5872,3.6014
42747,2.13,2.4,2.65,,,,2.103,2.394,3.6387,3.6536,3.6201,3.572,3.5838
42746,2.13,2.45,2.7,,,,2.104,2.39,3.5662,3.5853,3.5809,3.5495,3.5674
42745,2.11,2.35,2.7,,,,2.096,2.399,3.5314,3.5526,3.5481,3.5247,3.5533
42744,2.04,2.35,2.68,,,,2.094,2.41,3.4738,3.5152,3.5093,3.4962,3.5329
42741,2.08,2.4,2.7,,,,2.112,2.441,3.4101,3.4388,3.438,3.4413,3.4882
42740,2.08,2.48,2.73,,,,2.13,2.474,3.3578,3.3384,3.345,3.367,3.4311
42739,2.13,2.56,2.66,,,,2.172,2.545,3.3223,3.2912,3.3094,3.3391,3.3904
42738,2.15,2.7,2.67,,,,2.209,2.589,3.3126,3.2813,3.3037,3.331,3.3833
42734,2.1,3.24,3.7,,,,2.23,2.543,3.3059,3.2726,3.2864,3.3192,3.3728
42733,2.13,3.24,6,,,,2.227,2.544,3.2988,3.2651,3.2835,3.3115,3.3675
42732,2.12,2.8,6,,,,2.246,2.545,3.2945,3.2592,3.2762,3.3018,3.361
42731,2.1,2.5,4.8,,,,2.264,2.547,3.2842,3.2512,3.2718,3.2973,3.3598
42730,2.15,2.5,4.5,,,,2.294,2.545,3.2716,3.2414,3.2672,3.2928,3.3575
42727,2.15,2.55,4,,,,2.323,2.543,3.2558,3.2337,3.2515,3.2873,3.3546
42726,2.2,2.7,3.2,,,,2.341,2.544,3.2371,3.2267,3.2442,3.2827,3.3455
42725,2.35,3,3.5,,,,2.345,2.544,3.221,3.2164,3.2312,3.2767,3.3349
42724,2.3,2.65,3.59,,,,2.345,2.5375,3.2,3.204,3.222,3.2661,3.3186
42723,2.3,3,3.59,,,,2.335,2.525,3.1695,3.1898,3.2099,3.2502,3.3059
42720,2.3,3.24,3.6,,,,2.33,2.519,3.1545,3.1774,3.1985,3.2418,3.2986
42719,2.28,2.5,3.5,,,,2.311,2.505,3.1245,3.1635,3.1842,3.2275,3.2855
42718,2.28,2.89,3.25,,,,2.3,2.499,3.1072,3.1568,3.1731,3.2082,3.2741
42717,2.25,2.6,3.2,,,,2.296,2.496,3.0916,3.1498,3.1607,3.1942,3.2606
42716,2.25,2.6,3,,,,2.292,2.494,3.0756,3.1377,3.1464,3.1816,3.246
42713,2.23,2.5,2.9,,,,2.2925,2.4928,3.056,3.1265,3.144,3.176,3.2391
42712,2.23,2.5,3,,,,2.2908,2.4908,3.03,3.1144,3.1399,3.1696,3.231
42711,2.23,2.5,3,,,,2.292,2.491,2.9996,3.1134,3.1383,3.1655,3.2197
42710,2.23,2.45,3,,,,2.299,2.493,2.9756,3.1039,3.1226,3.1442,3.2066
42709,2.236,2.6,3,,,,2.308,2.497,2.9457,3.0889,3.1057,3.1211,3.1853
42706,2.3,2.7,3.2,,,,2.32,2.501,2.9163,3.0686,3.0868,3.1001,3.173
42705,2.3,3.2,3.59,,,,2.325,2.502,2.893,3.0556,3.0771,3.0902,3.16
42704,2.35,3.24,4,,,,2.316,2.496,2.8697,3.0358,3.0604,3.0714,3.1491
42703,2.3,2.8,3.5,,,,2.302,2.481,2.8565,3.0172,3.0434,3.0535,3.131
42702,2.3,2.9,3.3,,,,2.298,2.466,2.8446,3.0113,3.0331,3.0445,3.1199
42699,2.3,2.9,3.2,,,,2.289,2.458,2.826,3.0026,3.0201,3.0349,3.1088
42698,2.28,2.8,3.2,,,,2.282,2.452,2.8199,2.9956,3.0104,3.0289,3.0976
42697,2.3,2.7,3.3,,,,2.277,2.451,2.8089,2.9857,3.0036,3.0184,3.0853
42696,2.29,2.7,3.2,,,,2.273,2.45,2.799,2.9765,2.996,3.014,3.0825
42695,2.3,2.65,3.05,,,,2.271,2.448,2.7894,2.9701,2.9852,3.0069,3.0782
42692,2.3,2.85,3.15,,,,2.265,2.444,2.7739,2.9505,2.9715,2.999,3.0712
42691,2.3,2.85,3.1,,,,2.259,2.436,2.7608,2.9325,2.9526,2.9888,3.0605
42690,2.3,2.85,3.2,,,,2.257,2.428,2.7545,2.9125,2.938,2.9792,3.054
42689,2.3,2.6,3,,,,2.247,2.415,2.7511,2.8955,2.9303,2.9738,3.049
42688,2.3,2.7,2.8,,,,2.231,2.407,2.7508,2.8846,2.923,2.968,3.048
42685,2.23,2.5,2.58,,,,2.211,2.402,2.7476,2.8751,2.9209,2.965,3.045
42684,2.25,2.45,2.6,,,,2.196,2.393,2.746,2.8701,2.9185,2.964,3.044
42683,2.13,2.4,2.5,,,,2.182,2.389,2.745,2.8655,2.9154,2.9635,3.0415
42682,2.12,2.35,2.55,,,,2.187,2.392,2.747,2.8648,2.9137,2.961,3.041
42681,2.1,2.45,2.5,,,,2.206,2.399,2.7489,2.8576,2.9112,2.9599,3.041
42678,2.12,2.4,2.51,,,,2.232,2.405,2.7489,2.8458,2.9064,2.9587,3.0408
42677,2.2,2.45,2.6,,,,2.245,2.408,2.749,2.838,2.9034,2.9562,3.038
42676,2.28,2.5,2.7,,,,2.2492,2.414,2.7509,2.8296,2.9032,2.952,3.035
42675,2.3,2.8,3,,,,2.252,2.416,2.7486,2.8254,2.902,2.952,3.032
42674,2.31,3,3,,,,2.253,2.418,2.7453,2.8233,2.9,2.951,3.032
42671,2.4,3,3.43,,,,2.254,2.415,2.7427,2.8221,2.898,2.9485,3.032
42670,2.3,3,3.3,,,,2.254,2.411,2.7365,2.8207,2.895,2.945,3.031
42669,2.3,2.8,3.4,,,,2.248,2.409,2.7347,2.8164,2.894,2.944,3.03
42668,2.42,2.7,3.3,,,,2.238,2.404,2.7265,2.814,2.893,2.943,3.03
42667,2.25,2.95,3.2,,,,2.231,2.404,2.7245,2.813,2.891,2.9409,3.029
42664,2.35,3,3.2,,,,2.222,2.401,2.7242,2.8096,2.8899,2.9387,3.028
42663,2.2,2.7,3.1,,,,2.208,2.397,2.7213,2.8054,2.8889,2.9361,3.028
42662,2.25,2.75,3.1,,,,2.196,2.39,2.7133,2.804,2.8887,2.9309,3.028
42661,2.25,2.5,3.07,,,,2.173,2.381,2.7121,2.804,2.887,2.9284,3.0275
42660,2.15,2.45,2.55,,,,2.159,2.375,2.7101,2.804,2.887,2.9284,3.0275
42657,2.14,2.4,2.52,,,,2.153,2.374,2.711,2.8025,2.887,2.9284,3.0275
42656,2.12,2.41,2.6,,,,2.151,2.378,2.7125,2.8025,2.8877,2.9284,3.0275
42655,2.11,2.39,2.6,,,,2.15,2.383,2.7148,2.8015,2.887,2.9284,3.0275
42654,2.1,2.36,2.55,,,,2.153,2.394,2.718,2.8015,2.887,2.9284,3.0275
42653,2.1,2.45,2.56,,,,2.162,2.41,2.725,2.8015,2.887,2.9284,3.0275
42652,2.1,2.3,2.4,,,,2.175,2.425,2.73,2.8015,2.887,2.9284,3.0275
42651,2.15,2.35,2.6,,,,2.193,2.442,2.736,2.8015,2.887,2.9284,3.0275
42643,2.31,2.55,2.83,,,,2.327,2.477,2.741,2.8015,2.887,2.9284,3.0265
42642,2.3,2.85,3.3,,,,2.188,2.487,2.743,2.8015,2.887,2.9284,3.0265
42641,2.3,2.6,3.2,,,,2.178,2.476,2.7396,2.8015,2.887,2.9284,3.0265
42640,2.2,2.49,2.75,,,,2.166,2.459,2.7353,2.8025,2.887,2.9284,3.0265
42639,2.17,2.44,2.8,,,,2.164,2.439,2.733,2.804,2.8899,2.9283,3.0265
42636,2.15,2.4,2.5,,,,2.1668,2.406,2.7298,2.804,2.8888,2.928,3.0275
42635,2.16,2.68,2.8,,,,2.168,2.408,2.7177,2.803,2.8875,2.9249,3.0275
42634,2.2,2.74,3,,,,2.167,2.405,2.7069,2.8009,2.8843,2.924,3.0275
42633,2.2,2.7,2.85,,,,2.159,2.4,2.699,2.799,2.8823,2.9248,3.0275
42632,2.23,2.56,2.65,,,,2.154,2.397,2.695,2.796,2.8822,2.9226,3.0275
42631,2.2,2.4,2.75,,,,2.14,2.394,2.6896,2.7919,2.8815,2.921,3.0275
42627,2.15,2.65,2.9,,,,2.128,2.392,2.686,2.7885,2.8794,2.921,3.0265
42626,2.15,2.5,2.75,,,,2.108,2.3855,2.6792,2.785,2.8789,2.921,3.0265
42625,2.13,2.35,2.5,,,,2.095,2.378,2.6767,2.7849,2.8789,2.921,3.0265
42622,2.1,2.3,2.55,,,,2.085,2.3765,2.677,2.7831,2.879,2.921,3.0255
42621,2.1,2.32,2.55,,,,2.081,2.37,2.6745,2.781,2.877,2.921,3.0255
42620,2.09,2.38,2.55,,,,2.0803,2.368,2.677,2.781,2.879,2.921,3.0265
42619,2.08,2.36,2.52,,,,2.077,2.368,2.682,2.7845,2.8805,2.92,3.0265
42618,2.08,2.4,2.5,,,,2.07,2.369,2.686,2.786,2.884,2.921,3.0255
42615,2.08,2.4,2.41,,,,2.066,2.369,2.69,2.788,2.886,2.924,3.0265
42614,2.07,2.4,2.48,,,,2.066,2.368,2.696,2.791,2.8895,2.9255,3.026
42613,2.07,2.35,2.6,,,,2.065,2.369,2.696,2.794,2.8915,2.9265,3.027
42612,2.1,2.35,2.63,,,,2.063,2.366,2.696,2.795,2.8915,2.9265,3.025
42611,2.09,2.44,2.65,,,,2.049,2.364,2.696,2.795,2.894,2.927,3.027
42608,2.05,2.6,2.75,,,,2.044,2.362,2.697,2.796,2.895,2.927,3.027
42607,2.03,2.6,3.13,,,,2.044,2.364,2.6998,2.795,2.896,2.927,3.027
42606,2.05,2.6,3.1,,,,2.043,2.362,2.6976,2.794,2.896,2.927,3.027
42605,2.03,2.4,2.8888,,,,2.033,2.352,2.696,2.793,2.895,2.926,3.026
42604,2.02,2.48,2.75,,,,2.0233,2.3467,2.6978,2.7944,2.8967,2.9267,3.0267
42601,2.03,2.5,2.75,,,,2.023,2.347,2.696,2.793,2.896,2.926,3.027
42600,2.02,2.5,2.7,,,,2.023,2.347,2.696,2.794,2.895,2.927,3.026
42599,2.02,2.5,2.65,,,,2.022,2.345,2.698,2.796,2.897,2.927,3.026
42598,2.02,2.45,2.65,,,,2.022,2.343,2.702,2.7995,2.898,2.9295,3.026
42597,2.02,2.5,2.65,,,,2.0233,2.3411,2.7056,2.8028,2.9,2.9318,3.0278
42594,2.03,2.5,2.67,,,,2.021,2.336,2.705,2.8045,2.9,2.9309,3.026
42593,2.03,2.6,2.75,,,,2.021,2.332,2.705,2.805,2.901,2.9335,3.027
42592,2.02,2.5,2.76,,,,2.017,2.325,2.709,2.8085,2.9045,2.9347,3.026
42591,2.02,2.4,2.65,,,,2.01,2.317,2.714,2.8105,2.9055,2.937,3.025
42590,2,2.4,2.6,,,,2.005,2.316,2.721,2.815,2.907,2.94,3.026
42587,2,2.4,2.62,,,,2.002,2.317,2.729,2.8185,2.9105,2.9445,3.028
42586,2,2.4,2.6,,,,2.002,2.324,2.739,2.822,2.917,2.9484,3.03
42585,2,2.35,2.63,,,,2.004,2.332,2.755,2.8335,2.9225,2.9535,3.0335
42584,2.008,2.37,2.67,,,,2.008,2.338,2.761,2.839,2.928,2.9595,3.0358
42583,2,2.4,2.7,,,,2.012,2.343,2.7665,2.844,2.934,2.9646,3.0378
42580,2.01,2.5,2.75,,,,2.017,2.348,2.773,2.846,2.936,2.9658,3.038
42579,2,2.6,2.95,,,,2.028,2.359,2.775,2.8465,2.9385,2.9656,3.039
42578,2.03,2.62,3,,,,2.038,2.36,2.777,2.849,2.9446,2.9705,3.041
42577,2.05,2.6,3,,,,2.037,2.348,2.779,2.851,2.9455,2.974,3.041
42576,2.02,2.4,3,,,,2.032,2.332,2.78,2.854,2.948,2.976,3.041
42573,2.03,2.4,2.9,,,,2.023,2.321,2.784,2.856,2.954,2.981,3.044
42572,2.02,2.4,2.8,,,,2.008,2.311,2.786,2.8575,2.955,2.982,3.046
42571,2.01,2.4,2.7,,,,2.005,2.308,2.794,2.8615,2.956,2.985,3.045
42570,2.01,2.37,2.65,,,,2.003,2.308,2.795,2.865,2.957,2.985,3.048
42569,2,2.35,2.6,,,,1.996,2.307,2.799,2.87,2.959,2.985,3.048
42566,2,2.42,2.6,,,,1.996,2.308,2.803,2.877,2.964,2.986,3.047
42565,2,2.4,2.58,,,,1.993,2.31,2.81,2.888,2.966,2.994,3.047
42564,2,2.44,2.62,,,,1.993,2.313,2.823,2.907,2.9715,2.996,3.049
42563,2,2.35,2.62,,,,1.994,2.319,2.837,2.924,2.975,2.997,3.05
42562,2,2.45,2.6,,,,1.996,2.323,2.845,2.931,2.9775,2.999,3.05
42559,2,2.4,2.62,,,,1.996,2.327,2.8495,2.936,2.983,3,3.05
42558,2,2.42,2.64,,,,1.997,2.33,2.8535,2.9455,2.987,3,3.05
42557,2,2.35,2.67,,,,1.999,2.337,2.856,2.953,2.989,3,3.05
42556,2,2.35,2.72,,,,2.007,2.344,2.86,2.9605,2.99,3.0012,3.05
42555,2,2.38,2.72,,,,2.014,2.355,2.869,2.9672,2.99,3.0012,3.05
42552,2.01,2.4,2.8,,,,2.027,2.365,2.877,2.9661,2.9899,3.0012,3.05
42551,2.04,2.7,2.9,,,,2.037,2.385,2.887,2.9659,2.9887,3.0012,3.05
42550,2.02,2.57,3.31,,,,2.038,2.386,2.89,2.9639,2.9865,3.0012,3.051
42549,2.02,2.43,3.5,,,,2.04,2.381,2.8899,2.9638,2.9845,3.0012,3.051
42548,2.02,2.39,3.4,,,,2.038,2.375,2.8886,2.9618,2.9845,3.0019,3.051
42545,2.02,2.37,3.22,,,,2.035,2.371,2.8852,2.9626,2.9825,2.9985,3.051
42544,2.02,2.4,3.03,,,,2.032,2.358,2.8813,2.9605,2.9835,2.9945,3.051
42543,2.02,2.37,3.05,,,,2.027,2.355,2.8768,2.9593,2.9835,2.9945,3.051
42542,2.01,2.31,2.92,,,,2.019,2.354,2.8728,2.9573,2.9845,2.9945,3.051
42541,2,2.31,2.83,,,,2.01,2.351,2.8675,2.9572,2.9845,2.9945,3.051
42538,2,2.35,2.7,,,,2.005,2.346,2.859,2.9568,2.9844,2.9945,3.05
42537,2,2.35,2.6,,,,2.002,2.343,2.8535,2.9523,2.9834,2.9945,3.05
42536,2,2.35,2.58,,,,2,2.341,2.844,2.9521,2.9834,2.994,3.05
42535,2,2.32,2.6,,,,2,2.341,2.844,2.9508,2.9834,2.9944,3.05
42534,2,2.35,2.58,,,,2,2.342,2.844,2.9476,2.9833,2.993,3.05
42533,1.99,2.3,2.6,,,,2,2.343,2.842,2.946,2.982,2.993,3.05
42529,2,2.45,2.6,,,,2,2.341,2.838,2.946,2.982,2.993,3.05
42528,2,2.4,2.61,,,,2,2.34,2.838,2.946,2.9834,2.9935,3.05
42527,2,2.4,2.6,,,,1.998,2.337,2.839,2.946,2.9833,2.992,3.05
42524,2,2.35,2.6,,,,1.999,2.338,2.835,2.947,2.9833,2.993,3.05
42523,2,2.34,2.65,,,,2.004,2.342,2.838,2.946,2.9823,2.992,3.05
42522,2,2.45,2.62,,,,2.006,2.337,2.842,2.946,2.9823,2.992,3.05
42521,2.01,2.4,2.63,,,,2.01,2.338,2.846,2.946,2.9822,2.992,3.05
42520,2,2.5,2.65,,,,2.002,2.334,2.846,2.9455,2.9822,2.992,3.05
42517,2.01,2.5,2.65,,,,2.001,2.333,2.846,2.942,2.9822,2.992,3.05
42516,2,2.5,2.7,,,,2.001,2.332,2.845,2.941,2.981,2.993,3.05
42515,2,2.42,2.71,,,,2.001,2.331,2.842,2.9385,2.982,2.993,3.05
42514,2,2.3,2.75,,,,2.002,2.33,2.842,2.933,2.9807,2.9908,3.05
42513,2,2.33,2.75,,,,2.004,2.33,2.84,2.93,2.9762,2.9865,3.05
42510,2,2.35,2.76,,,,2.008,2.331,2.839,2.9288,2.9716,2.9843,3.05
42509,2,2.4,2.8,,,,2.01,2.331,2.837,2.9273,2.9655,2.9823,3.05
42508,2.02,2.41,2.79,,,,2.011,2.332,2.839,2.9227,2.9636,2.9822,3.05
42507,2.02,2.35,2.7,,,,2.011,2.331,2.835,2.9158,2.9552,2.9812,3.049
42506,2,2.4,2.72,,,,2.005,2.327,2.834,2.9075,2.9516,2.981,3.047
42503,2,2.41,2.73,,,,2.002,2.324,2.834,2.9035,2.9452,2.979,3.045
42502,2,2.45,2.71,,,,2,2.325,2.835,2.8955,2.9418,2.979,3.044
42501,2,2.4,2.77,,,,1.999,2.324,2.838,2.894,2.9385,2.978,3.043
42500,2,2.4,2.8,,,,1.999,2.323,2.841,2.892,2.9345,2.977,3.042
42499,2,2.4,2.77,,,,1.999,2.323,2.841,2.892,2.9325,2.977,3.042
42496,2,2.4,2.76,,,,2,2.326,2.842,2.894,2.9335,2.977,3.042
42495,2,2.4,2.76,,,,2.001,2.329,2.846,2.896,2.9345,2.977,3.042
42494,2,2.45,2.8,,,,2,2.328,2.845,2.899,2.933,2.977,3.042
42493,2,2.37,2.82,,,,2.0033,2.34,2.8489,2.9044,2.93,2.9767,3.0422
42489,2.07,2.5,2.82,,,,2.049,2.386,2.853,2.908,2.927,2.975,3.042
42488,2.01,2.6,2.95,,,,2.021,2.368,2.8415,2.8925,2.9166,2.9712,3.042
42487,2.01,2.7,3,,,,2.024,2.346,2.833,2.883,2.912,2.9712,3.042
42486,2.02,2.4,3.16,,,,2.036,2.341,2.829,2.8775,2.907,2.9708,3.042
42485,2.06,2.45,3.2,,,,2.045,2.342,2.823,2.8735,2.904,2.967,3.042
42482,2.06,2.55,3.1,,,,2.038,2.334,2.8115,2.868,2.9025,2.9676,3.042
42481,2.01,2.4,3.03,,,,2.029,2.332,2.8055,2.861,2.8965,2.967,3.042
42480,2,2.4,3,,,,2.018,2.322,2.803,2.851,2.894,2.967,3.042
42479,2,2.3533,2.9,,,,2.004,2.305,2.8,2.85,2.894,2.9675,3.043
42478,1.99,2.35,2.85,,,,1.998,2.302,2.799,2.848,2.893,2.967,3.042
42475,1.99,2.41,2.7,,,,1.995,2.301,2.799,2.848,2.894,2.967,3.044
42474,2,2.44,2.75,,,,1.999,2.304,2.799,2.8487,2.8928,2.967,3.042
42473,2,2.5,2.7,,,,1.996,2.302,2.799,2.8485,2.8905,2.966,3.042
42472,1.99,2.38,2.69,,,,1.993,2.295,2.797,2.847,2.8875,2.965,3.043
42471,1.98,2.35,2.65,,,,1.985,2.291,2.797,2.8485,2.885,2.965,3.042
42468,1.98,2.35,2.68,,,,1.98,2.287,2.798,2.8455,2.8828,2.966,3.047
42467,1.98,2.36,2.7,,,,1.9783,2.289,2.8,2.847,2.8825,2.968,3.048
42466,1.98,2.35,2.75,,,,1.983,2.294,2.8068,2.845,2.8805,2.968,3.049
42465,1.98,2.36,2.89,,,,1.993,2.302,2.8212,2.846,2.878,2.9683,3.05
42461,2,2.45,3.35,,,,2.014,2.32,2.816,2.8385,2.872,2.969,3.051
42460,2.02,2.3,3.4,,,,2.017,2.325,2.807,2.8248,2.87,2.97,3.051
42459,2.01,2.4,3.06,,,,2.004,2.312,2.7665,2.8115,2.869,2.97,3.052
42458,2,2.28,3.3,,,,1.996,2.303,2.729,2.8002,2.866,2.97,3.054
42457,1.99,2.4,3.2,,,,1.992,2.301,2.706,2.797,2.868,2.971,3.055
42454,1.98,2.35,3.1,,,,1.989,2.3,2.702,2.797,2.87,2.9746,3.055
42453,2,2.38,3,,,,1.995,2.297,2.704,2.799,2.8792,2.978,3.055
42452,2,2.49,2.8,,,,2,2.301,2.7025,2.798,2.884,2.98,3.0555
42451,2.03,2.38,3,,,,2.007,2.305,2.699,2.797,2.887,2.985,3.058
42450,1.98,2.38,2.76,,,,1.998,2.302,2.692,2.795,2.892,2.992,3.0635
42447,2,2.31,3,,,,1.99,2.295,2.662,2.793,2.902,2.995,3.0685
42446,1.98,2.32,2.59,,,,1.97,2.288,2.662,2.791,2.916,3.003,3.078
42445,1.96,2.34,2.49,,,,1.956,2.282,2.6585,2.793,2.9302,3.011,3.09
42444,1.96,2.33,2.51,,,,1.953,2.281,2.659,2.793,2.936,3.011,3.091
42443,1.96,2.31,2.5,,,,1.949,2.281,2.659,2.793,2.94,3.014,3.093
42440,1.95,2.3,2.57,,,,1.945,2.282,2.666,2.799,2.949,3.016,3.0955
42439,1.95,2.32,2.52,,,,1.947,2.28,2.678,2.804,2.959,3.02,3.101
42438,1.96,2.31,2.51,,,,1.95,2.292,2.683,2.807,2.972,3.026,3.106
42437,1.95,2.33,2.51,,,,1.95,2.293,2.689,2.814,2.976,3.033,3.112
42436,1.95,2.33,2.55,,,,1.951,2.294,2.696,2.823,2.98,3.044,3.121
42433,1.95,2.3,2.5,,,,1.95,2.295,2.703,2.832,2.989,3.051,3.125
42432,1.95,2.3,2.56,,,,1.957,2.297,2.716,2.84,2.993,3.057,3.134
42431,1.96,2.34,2.66,,,,1.962,2.3,2.738,2.857,2.996,3.068,3.145
