,inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime,check,diff,diffNum,date
239,160202.IB,4.26,real,43165.4003776157,4.2575,4.23,Wide,43165.4003776157,4.2,real,43165.4003776157,4.26,estimated,43165.4003776157,4.26,50000000.0,3/6/2018 9:36:32 AM,4.2,50000000.0,43165.4003776157,43165.4003776157,4.26,-,50000000.0,4.2,-,50000000.0,60,43165.4003776157,-,-,0,-,43166.128553020804,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,3/6/2018 9:36:32 AM,-,-,-,3/6/2018 9:36:32 AM,-,-,-,-,False,0.4003776156969252,0.4003776156969252,43165
253,160202.IB,4.28,real,43164.5684665856,4.2725,4.27166666666667,Wide,43164.436425115695,4.27,indic/old,43164.4535634954,4.27,estimated,43164.436425115695,4.28,100000000.0,3/5/2018 1:38:35 PM,4.2,50000000.0,43164.5684665856,43164.5684665856,4.28,-,100000000.0,4.2,-,50000000.0,60,43164.5684665856,-,-,0,-,43165.481235277795,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,3/5/2018 1:38:35 PM,-,-,-,3/5/2018 1:38:35 PM,-,-,-,-,False,0.43642511569487397,0.43642511569487397,43164
0,160203.IB,4.313402007749589,indic/guess,43216.6790055556,4.3025,4.2156384903201,estimated,43252.6229050926,4.3,indic/old,43252.6229050926,4.3,estimated,43252.6229050926,4.3140487626929405,30000000.0,4/27/2018 4:12:42 PM,3.48,0.1,43319.405208287004,43340.6247665046,-,-,0.1,-,-,0.1,60,43340.6247665046,-,-,0,-,43340.624766713,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 2:59:39 PM,-,-,-,8/28/2018 2:59:39 PM,-,-,-,-,False,0.622905092597648,0.622905092597648,43252
50,160203.IB,4.335,real/inverted,43202.611784016204,4.51662638740038,4.51662638740038,Tight,43202.611784016204,4.698252774800769,real/inverted,43202.611784016204,4.698252774800769,estimated,43202.611784016204,4.335,40000000.0,4/12/2018 2:40:58 PM,4.32,40000000.0,43202.611784016204,43202.611784016204,4.335,-,40000000.0,4.32,-,40000000.0,60,43202.611784016204,-,-,0,-,43203.3758756366,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,4/12/2018 2:40:58 PM,-,-,-,4/12/2018 2:40:58 PM,-,-,-,-,False,0.611784016204183,0.611784016204183,43202
476,160206.IB,3.7862571946656502,indic/old,43341.43880625,3.7831285973328197,3.78000015642596,Tight,43341.444386574105,3.78,indic/old,43341.4387620139,3.7862571946656502,estimated,43341.4386322917,3.8599919013946598,60000000.0,8/29/2018 10:39:55 AM,3.7100009305035297,10000000.0,43341.444386574105,43341.444386574105,3.85999190139466,97.9028,60000000.0,3.71000093050353,98.2462,10000000.0,60,43341.4443865741,-,-,0,-,43341.444411400495,TwoSide,cfets,-,PRICE,160206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 10:39:55 AM,-,-,-,8/29/2018 10:39:55 AM,-,-,-,-,False,0.44438657410501037,0.44438657410501037,43341
640,160206.IB,3.78925300449726,indic/old,43340.6109899306,3.7846280070030702,3.7846280070030702,Tight,43340.6249652778,3.78000300950889,indic/old,43340.6122414352,3.78925300449726,estimated,43340.6109063657,3.85001572872227,10000000.0,8/28/2018 2:59:57 PM,3.70001317966254,10000000.0,43340.6249652778,43340.6249652778,3.85001572872227,97.9234,10000000.0,3.70001317966254,98.2673,10000000.0,60,43340.6249652778,-,-,0,-,43340.6249947106,TwoSide,cfets,-,PRICE,160206.IB_PKBond,8/29/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/28/2018 2:59:57 PM,-,-,-,8/28/2018 2:59:57 PM,-,-,-,-,False,0.6249652777987649,0.6249652777987649,43340
935,160206.IB,3.79,real,43339.6341390046,3.7875,3.7825,Wide,43339.6203385648,3.77,real,43339.6341390046,3.79,estimated,43339.6203385648,3.79,3000.0,8/27/2018 3:13:09 PM,3.77,5000.0,43339.6341390046,43339.6341390046,3.79,-,3000.0,3.77,-,5000.0,60,43339.6341390046,-,-,0,-,43339.6341616782,TwoSide,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/27/2018 3:13:09 PM,-,-,-,8/27/2018 3:13:09 PM,-,-,-,-,False,0.6203385647968389,0.6203385647968389,43339
1134,160206.IB,3.7492677388188396,indic/old,43336.616671875,3.74463386940942,3.74000011584529,average,43336.618495219904,3.74,indic/old,43336.5821708102,3.7492677388188396,estimated,43336.6166239583,3.7492677388188396,400000000.0,8/24/2018 2:48:00 PM,3.72,5000.0,43336.618495219904,43336.618495219904,-,-,0.1,3.72,-,5000.0,60,43336.6184952199,-,-,0,-,43336.6185196065,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/24/2018 2:50:37 PM,-,-,-,8/24/2018 2:50:37 PM,-,-,-,-,False,0.618495219903707,0.618495219903707,43336
1377,160206.IB,4.0288003732249305,real,43335.6268876157,3.8405470019640897,3.99064969897276,Wide,43335.6126054398,3.8380470019640898,indic/old,43335.6162835648,3.8380470019640898,estimated,43335.6126054398,4.0288003732249305,50000000.0,8/23/2018 3:02:43 PM,3.5787970502824504,50000000.0,43335.6268876157,43335.6268876157,4.02880037322493,97.5027,50000000.0,3.57879705028245,98.5388,50000000.0,60,43335.6268876157,-,-,0,-,43335.626889467596,TwoSide,cfets,-,PRICE,160206.IB_PKBond,8/24/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/23/2018 3:02:43 PM,-,-,-,8/23/2018 3:02:43 PM,-,-,-,-,False,0.6126054397973348,0.6126054397973348,43335
1744,160206.IB,3.86001170290927,real,43334.6230092593,3.8042222749828,3.76624433330679,Wide,43334.6214583333,3.7099839115453,real,43334.6230092593,3.8067222749828,estimated,43334.6214583333,3.86001170290927,50000000.0,8/22/2018 2:57:08 PM,3.7099839115453,30000000.0,43334.6230092593,43334.6230092593,3.86001170290927,97.8873,50000000.0,3.7099839115453,98.2333,30000000.0,60,43334.6230092593,-,-,0,-,43334.6230119444,TwoSide,cfets,-,PRICE,160206.IB_PKBond,8/23/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/22/2018 2:57:08 PM,-,-,-,8/22/2018 2:57:08 PM,-,-,-,-,False,0.6214583332985057,0.6214583332985057,43334
