Date,FR007
43202,2.8
43201,2.8
43200,2.8
43199,2.7
43198,2.7
43194,2.8
43193,2.9
43192,2.99
43189,3.5
43188,3.2
43187,3.1
43186,2.9
43185,2.75
43182,2.9
43181,3
43180,3
43179,3.1
43178,3
43175,3
43174,3.16
43173,3
43172,3.3
43171,2.9
43168,2.9
43167,2.9
43166,3
43165,3.1
43164,3.3
43161,3.3
43160,3.2
43159,3.49
43158,3.4
43157,3.01
43155,2.85
43154,3
43153,3.06
43145,2.85
43144,2.98
43143,2.86
43142,2.75
43140,2.95
43139,2.9
43138,2.72
43137,2.75
43136,2.73
43133,2.8
43132,2.85
43131,3.2
43130,3.2
43129,3.14
43126,3.36
43125,3.05
43124,3
43123,3
43122,3.3
43119,3.4
43118,3.49
43117,3.25
43116,3
43115,3
43112,3.45
43111,3.49
43110,3
43109,2.85
43108,2.75
43105,2.73
43104,2.8
43103,2.9
43102,2.88
43098,6
43097,4.6
43096,3.1
43095,3
43094,2.8
43091,2.9
43090,3.15
43089,3.4
43088,3.35
43087,3.35
43084,3.4
43083,3.44
43082,3.44
43081,3.44
43080,3.2
43077,3
43076,3
43075,3.2
43074,3
43073,2.9
43070,3
43069,3.44
43068,3.44
43067,3.45
43066,3.44
43063,3.44
43062,3.08
43061,3.44
43060,3.44
43059,3.25
43056,3.4
43055,3.1
43054,3.44
43053,3.4
43052,3.44
43049,3.44
43048,3.4
43047,3.2
43046,3
43045,2.9
43042,2.86
43041,3.1
43040,3.44
43039,2.7
43038,3.44
43035,3.29
43034,3.44
43033,3.4
43032,3.2
43031,3
43028,3.1
43027,3.1
43026,3.24
43025,3.1
43024,3.1
43021,3.1
43020,3.3
43019,3.44
43018,3.44
43017,3.44
43008,3.15
43007,3.25
43006,2.93
43005,3.44
43004,3.44
43003,3.4
43000,3.44
42999,3.44
42998,3.44
42997,3.44
42996,3.5
42993,3.44
42992,3.5
42991,3.6
42990,3.44
42989,3.3
42986,3.25
42985,3.2
42984,3.4
42983,3.4
42982,3.44
42979,3.44
42978,3.44
42977,3.44
42976,3.44
42975,3.6
42972,3.44
42971,3.44
42970,4
42969,3.45
42968,3.44
42965,3.44
42964,4.6
42963,3.62
42962,3.7
42961,3.4
42958,3.2
42957,3.4
42956,3.44
42955,3.44
42954,3.2
42951,3.1
42950,3.4
42949,3.8
42948,4
42947,3.4
42944,3.44
42943,3.44
42942,3.44
42941,3.44
42940,3.2
42937,3.44
42936,3.44
42935,3.6
42934,3.4
42933,3.2
42930,3.05
42929,3.2
42928,3.3
42927,3.1
42926,2.95
42923,2.8
42922,3
42921,2.95
42920,3.2
42919,3.2
42916,3.9
42915,3
42914,3.41
42913,2.99
42912,2.95
42909,3
42908,3.4
42907,3.44
42906,3.44
42905,3.4
42902,3.3
42901,3.44
42900,3.4
42899,3.44
42898,3.44
42895,3.4
42894,3.6
42893,3.5
42892,3.44
42891,3.44
42888,3.44
42887,3.4
42886,3.1
42882,2.8
42881,3.2
42880,3.2
42879,2.9
42878,2.85
42877,2.8
42874,3.2
42873,3.44
42872,3.44
42871,3.4
42870,3.15
42867,3.4
42866,3.4
42865,3.3
42864,3.3
42863,3.3
42860,3.44
42859,4.3
42858,4.5
42857,3.7
42853,4.3
42852,4
42851,3.5
42850,3.44
42849,3.44
42846,3.44
42845,3.6
42844,3.8
42843,3.4
42842,3.44
42839,2.9
42838,2.9
42837,3
42836,2.8
42835,2.9
42832,3
42831,3.4
42830,2.9
42826,2.65
42825,4.5
42824,3.11
42823,3.5
42822,2.72
42821,3.2
42818,3.2
42817,3.44
42816,5
42815,5.5
42814,3.85
42811,3.44
42810,3.8
42809,3
42808,3
42807,2.9
42804,2.8
42803,3
42802,3.1
42801,3.3
42800,2.9
42797,2.8
42796,3.1
42795,3.24
42794,3
42793,2.6
42790,3.34
42789,3.34
42788,3.03
42787,3.3
42786,3.34
42783,3.34
42782,2.83
