inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
180211.IB,3.97,real,43341.6948151042,3.96875,3.96875,Tight,43341.6948151042,3.9675,indic/old,43341.6886921296,3.9675,estimated,43341.6751388889,3.97,3000,8/29/2018 4:40:32 PM,3.94,1000,43341.6948151042,43341.6948151042,3.97,-,3000,3.94,-,1000,60,43341.6948151042,-,-,0,-,43341.6948278819,TwoSide,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:40:32 PM,-,-,-,8/29/2018 4:40:32 PM,-,-,-,-
180211.IB,3.97,real,43341.6886921296,3.96875,3.96875,Tight,43341.6886921296,3.9675,real,43341.6886921296,3.9675,estimated,43341.6751388889,3.97,3000,8/29/2018 4:31:43 PM,3.9675,3000,43341.6886921296,43341.6886921296,3.97,-,3000,3.9675,-,3000,60,43341.6886921296,-,-,0,-,43341.6886939815,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:31:43 PM,-,-,-,8/29/2018 4:31:43 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6751388889,3.96875,3.96875,Tight,43341.6779050926,3.9675,indic/old,43341.6779050926,3.9675,estimated,43341.6751388889,3.975,3000,8/29/2018 4:16:11 PM,3.9675,3000,43341.6779050926,43341.6875365741,-,-,0.1,-,-,0.1,60,43341.6875365741,-,-,0,-,43341.6875482292,"Ignored/ask,bid,",cfets,-,PRICE,180211.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:30:03 PM,-,-,-,8/29/2018 4:30:03 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6751388889,3.96875,3.96875,Tight,43341.6779050926,3.9675,indic/old,43341.6779050926,3.9675,estimated,43341.6751388889,3.975,3000,8/29/2018 4:16:11 PM,3.9675,3000,43341.6779050926,43341.6875364583,-,-,0.1,-,-,0.1,60,43341.6875364583,-,-,0,-,43341.6875478125,"Ignored/ask,bid,",cfets,-,PRICE,180211.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:30:03 PM,-,-,-,8/29/2018 4:30:03 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6751388889,3.96875,3.96875,Tight,43341.6779050926,3.9675,indic/old,43341.6779050926,3.9675,estimated,43341.6751388889,3.975,3000,8/29/2018 4:16:11 PM,3.9675,3000,43341.6779050926,43341.6794907407,-,-,0.1,-,-,0.1,60,43341.6794907407,-,-,0,-,43341.6795128935,"Ignored/ask,bid,",cfets,-,PRICE,180211.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:18:28 PM,-,-,-,8/29/2018 4:18:28 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6751388889,3.96875,3.96875,Tight,43341.6779050926,3.9675,real,43341.6779050926,3.9675,estimated,43341.6751388889,3.975,3000,8/29/2018 4:16:11 PM,3.9675,3000,43341.6779050926,43341.6779050926,3.975,-,3000,3.9675,-,3000,60,43341.6779050926,-,-,0,-,43341.6779162616,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:16:11 PM,-,-,-,8/29/2018 4:16:11 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6751388889,3.96875,3.96875,Tight,43341.6774189815,3.9675,real,43341.6774189815,3.9675,estimated,43341.6751388889,3.98,1000,8/29/2018 4:15:29 PM,3.9675,3000,43341.6774189815,43341.6774189815,3.98,-,1000,3.9675,-,3000,60,43341.6774189815,-,-,0,-,43341.6774287616,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:15:29 PM,-,-,-,8/29/2018 4:15:29 PM,-,-,-,-
180211.IB,3.97,real,43341.6751388889,3.96875,3.96875,Tight,43341.6751388889,3.9675,real,43341.6751388889,3.9675,estimated,43341.6751388889,3.97,3000,8/29/2018 4:12:12 PM,3.9675,3000,43341.6751388889,43341.6751388889,3.97,-,3000,3.9675,-,3000,60,43341.6751388889,-,-,0,-,43341.6751526505,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:12:12 PM,-,-,-,8/29/2018 4:12:12 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6645480903,3.9665,3.96916666666667,estimated,43341.6673282176,3.965,indic/guess,43341.6673282176,3.965,real,43341.6673282176,3.97,0.1,8/29/2018 3:56:56 PM,3.966,5000,43341.6673282176,43341.6744328704,-,-,0.1,-,-,0.1,60,43341.6744328704,-,-,0,-,43341.6744753935,"Ignored/ask,bid,",cfets,-,PRICE,180211.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:11:11 PM,-,-,-,8/29/2018 4:11:11 PM,-,-,-,-
180211.IB,3.97,indic/old,43341.6645480903,3.9665,3.96916666666667,estimated,43341.6673282176,3.965,indic/guess,43341.6673282176,3.965,real,43341.6673282176,3.97,0.1,8/29/2018 3:56:56 PM,3.966,5000,43341.6673282176,43341.6673282176,-,-,0,3.966,-,0,60,-,3.965,-,0,43341.6673282176,43341.6673504745,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:00:57 PM,-,-,-,8/29/2018 4:00:57 PM,-,-,-,-
