inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
150201.IB,3.5,indic/guess,43102.5733217593,3.4025,3.3000000004,Wide,43102.61031875,3.3,indic/guess,43102.7205497569,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:46:24 PM,3.3,0.1,43102.7205497569,43102.7206076968,-,-,0.1,-,-,0.1,60,43102.7206076968,-,-,0,-,43103.1287241782,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 5:17:40 PM,-,-,-,1/2/2018 5:17:40 PM,-,-,-,-
150201.IB,3.5,indic/guess,43102.5733217593,3.4025,3.3000000004,Wide,43102.61031875,3.3,real,43102.7205497569,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:46:24 PM,3.3,0.1,43102.7205497569,43102.7205497569,-,-,0.1,3.3,-,0.1,60,43102.7205497569,-,-,0,-,43103.1287241782,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 5:17:35 PM,-,-,-,1/2/2018 5:17:35 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.3000000004,Wide,43102.61031875,3.3,real,43102.6572316551,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:46:24 PM,3.3,0.1,43102.6572316551,43102.6572316551,3.92,-,0.1,3.3,-,0.1,60,43102.6572316551,-,-,0,-,43103.1287241782,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 3:46:24 PM,-,-,-,1/2/2018 3:46:24 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.42857142857143,Wide,43102.61031875,3.4,indic/guess,43102.6474153704,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:46:23 PM,3.3,0.1,43102.6571947569,43102.6572186343,3.92,-,0.1,-,-,0.1,60,43102.6572186343,-,-,0,-,43103.1287241782,BidOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 3:46:23 PM,-,-,-,1/2/2018 3:46:23 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.42857142857143,Wide,43102.61031875,3.4,indic/old,43102.6474153704,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:46:21 PM,3.3,0.1,43102.6571947569,43102.6571947569,3.92,-,0.1,3.3,-,0.1,60,43102.6571947569,-,-,0,-,43103.1287241782,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 3:46:21 PM,-,-,-,1/2/2018 3:46:21 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.42857142857143,Wide,43102.61031875,3.4,real,43102.6474153704,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:32:16 PM,3.4,20000000,43102.6474153704,43102.6474153704,3.92,-,0.1,3.4,-,20000000,60,43102.6474153704,-,-,0,-,43103.1287241782,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 3:32:16 PM,-,-,-,1/2/2018 3:32:16 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.42857142857143,Wide,43102.61031875,3.4,indic/old,43102.61031875,3.4,estimated,43102.61031875,3.95,50000000,1/2/2018 3:22:50 PM,3.3,50000000,43102.6408564815,43102.6408564815,3.95,-,50000000,3.3,-,50000000,60,43102.6408564815,-,-,0,-,43103.1287241782,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 3:22:50 PM,-,-,-,1/2/2018 3:22:50 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.42857142857143,Wide,43102.61031875,3.4,indic/old,43102.61031875,3.4,estimated,43102.61031875,3.95,50000000,1/2/2018 3:04:41 PM,3.35,0.1,43102.6282523148,43102.6282523148,3.95,-,50000000,3.35,-,0.1,60,43102.6282523148,-,-,0,-,43103.1287241782,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 3:04:41 PM,-,-,-,1/2/2018 3:04:41 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.4025,3.39285714285714,estimated,43102.61031875,3.4,real,43102.61031875,3.4,estimated,43102.61031875,3.95,50000000,1/2/2018 2:38:46 PM,3.4,20000000,43102.61031875,43102.61031875,-,-,0.1,3.4,-,20000000,60,43102.61031875,-,-,0,-,43103.1287241782,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:38:51 PM,-,-,-,1/2/2018 2:38:51 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.3525,3.39285714285714,Wide,43102.6094097222,3.35,real,43102.6102546296,3.35,estimated,43102.6094097222,3.95,50000000,1/2/2018 2:38:46 PM,3.35,20000000,43102.6102546296,43102.6102546296,3.95,-,50000000,3.35,-,20000000,60,43102.6102546296,-,-,0,-,43103.1287241782,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:38:46 PM,-,-,-,1/2/2018 2:38:46 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.3525,3.3500000003,Wide,43102.6094097222,3.35,real,43102.6094097222,3.35,estimated,43102.6094097222,3.95,50000000,1/2/2018 2:37:33 PM,3.35,0.1,43102.6094097222,43102.6094097222,3.95,-,50000000,3.35,-,0.1,60,43102.6094097222,-,-,0,-,43103.1287241782,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:37:33 PM,-,-,-,1/2/2018 2:37:33 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.3025,3.41666666666667,Wide,43102.5724189815,3.3,real,43102.6059187847,3.3,estimated,43102.4660824421,3.95,50000000,1/2/2018 2:31:07 PM,3.3,20000000,43102.6059187847,43102.6059187847,-,-,0.1,3.3,-,20000000,60,43102.6059187847,-,-,0,-,43103.1287241782,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:32:31 PM,-,-,-,1/2/2018 2:32:31 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.3025,3.41666666666667,Wide,43102.5724189815,3.3,real,43102.6049421296,3.3,estimated,43102.4660824421,3.95,50000000,1/2/2018 2:31:07 PM,3.3,70000000,43102.6049421296,43102.6049421296,3.95,-,50000000,3.3,-,70000000,60,43102.6049421296,-,-,0,-,43103.1287241782,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:31:07 PM,-,-,-,1/2/2018 2:31:07 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.3025,3.4,Wide,43102.5724189815,3.3,real,43102.6019705787,3.3,estimated,43102.4660824421,3.95,50000000,1/2/2018 2:01:11 PM,3.3,20000000,43102.6019705787,43102.6019705787,-,-,0.1,3.3,-,20000000,60,43102.6019705787,-,-,0,-,43103.1287241782,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:26:50 PM,-,-,-,1/2/2018 2:26:50 PM,-,-,-,-
150201.IB,3.5,indic/old,43102.5733217593,3.3025,3.4,Wide,43102.5724189815,3.3,real,43102.5844235185,3.3,estimated,43102.4660824421,3.95,50000000,1/2/2018 2:01:11 PM,3.3,0.1,43102.5844235185,43102.5844235185,-,-,0.1,3.3,-,0.1,60,43102.5844235185,-,-,0,-,43103.1287241782,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 2:01:34 PM,-,-,-,1/2/2018 2:01:34 PM,-,-,-,-
