inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,average,43341.701371794,4.28,real,43341.701371794,4.285,real,43341.6642944097,4.29,2000,8/29/2018 4:19:27 PM,4.28,2000,43341.701371794,43341.701371794,-,-,0.1,4.28,-,2000,60,43341.701371794,-,-,0,-,43341.701476794,"Ignored/trade,",CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:49:58 PM,-,-,-,8/29/2018 4:49:58 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6801754167,4.28,indic/old,43341.6801754167,4.285,real,43341.6642944097,4.29,2000,8/29/2018 4:19:27 PM,4.28,2000,43341.6801754167,43341.6875359954,-,-,0.1,-,-,0.1,60,43341.6875359954,-,-,0,-,43341.6875476157,"Ignored/ask,bid,",cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:30:03 PM,-,-,-,8/29/2018 4:30:03 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6801754167,4.28,indic/old,43341.6801754167,4.285,real,43341.6642944097,4.29,2000,8/29/2018 4:19:27 PM,4.28,2000,43341.6801754167,43341.6875358796,-,-,0.1,-,-,0.1,60,43341.6875358796,-,-,0,-,43341.6875475116,"Ignored/ask,bid,",cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:30:03 PM,-,-,-,8/29/2018 4:30:03 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6801754167,4.28,real,43341.6801754167,4.285,real,43341.6642944097,4.29,2000,8/29/2018 4:19:27 PM,4.28,2000,43341.6801754167,43341.6801754167,4.29,-,2000,4.28,-,2000,60,43341.6801754167,-,-,0,-,43341.680188044,TwoSide,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:19:27 PM,-,-,-,8/29/2018 4:19:27 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6801623958,4.28,real,43341.6801623958,4.285,real,43341.6642944097,4.29,2000,8/29/2018 4:19:26 PM,4.28,2000,43341.6801623958,43341.6801623958,4.29,-,2000,4.28,-,2000,60,43341.6801623958,-,-,0,-,43341.6801750231,TwoSide,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:19:26 PM,-,-,-,8/29/2018 4:19:26 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6796205903,4.28,real,43341.6796205903,4.285,real,43341.6642944097,4.3,3000,8/29/2018 4:18:39 PM,4.28,2000,43341.6796205903,43341.6796205903,4.3,-,3000,4.28,-,2000,60,43341.6796205903,-,-,0,-,43341.6800267014,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:18:39 PM,-,-,-,8/29/2018 4:18:39 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6795966898,4.28,real,43341.6795966898,4.285,real,43341.6642944097,4.3,3000,8/29/2018 4:18:37 PM,4.28,2000,43341.6795966898,43341.6795966898,4.3,-,3000,4.28,-,2000,60,43341.6795966898,-,-,0,-,43341.6800145255,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:18:37 PM,-,-,-,8/29/2018 4:18:37 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.281875,Tight,43341.6795438889,4.28,real,43341.6795438889,4.285,real,43341.6642944097,4.3,3000,8/29/2018 4:18:32 PM,4.28,3000,43341.6795438889,43341.6795438889,4.3,-,3000,4.28,-,3000,60,43341.6795438889,-,-,0,-,43341.67995,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:18:32 PM,-,-,-,8/29/2018 4:18:32 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6752173727,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.285,5000,8/29/2018 4:12:18 PM,4.275,3000,43341.6752173727,43341.6794907407,-,-,0.1,-,-,0.1,60,43341.6794907407,-,-,0,-,43341.6795164468,"Ignored/ask,bid,",cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:18:28 PM,-,-,-,8/29/2018 4:18:28 PM,-,-,-,-
180206.IB,4.285,indic/old,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6752173727,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.285,5000,8/29/2018 4:12:18 PM,4.275,3000,43341.6752173727,43341.6763310185,-,-,0.1,-,-,0.1,60,43341.6763310185,-,-,0,-,43341.6763761458,"Ignored/ask,bid,",cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:13:55 PM,-,-,-,8/29/2018 4:13:55 PM,-,-,-,-
180206.IB,4.285,real,43341.6752173727,4.2825,4.28142857142857,Tight,43341.6752173727,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.285,5000,8/29/2018 4:12:18 PM,4.275,3000,43341.6752173727,43341.6752173727,4.285,-,5000,4.275,-,3000,60,43341.6752173727,-,-,0,-,43341.6753022107,"Ignored/trade,",PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:12:18 PM,-,-,-,8/29/2018 4:12:18 PM,-,-,-,-
180206.IB,4.285,real,43341.6751913542,4.2825,4.28142857142857,Tight,43341.6751913542,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.285,5000,8/29/2018 4:12:16 PM,4.275,3000,43341.6751913542,43341.6751913542,4.285,-,5000,4.275,-,3000,60,43341.6751913542,-,-,0,-,43341.6752030324,"Ignored/trade,",PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:12:16 PM,-,-,-,8/29/2018 4:12:16 PM,-,-,-,-
180206.IB,4.285,real,43341.6751913426,4.2825,4.28083333333333,Tight,43341.6751913426,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.285,10000,8/29/2018 4:12:16 PM,4.275,3000,43341.6751913426,43341.6751913426,4.285,-,10000,4.275,-,3000,60,43341.6751913426,-,-,0,-,43341.6752029861,"Ignored/trade,",PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:12:16 PM,-,-,-,8/29/2018 4:12:16 PM,-,-,-,-
180206.IB,4.285,real,43341.675191331,4.2825,4.28142857142857,Tight,43341.675191331,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.285,5000,8/29/2018 4:12:16 PM,4.275,3000,43341.675191331,43341.675191331,4.285,-,5000,4.275,-,3000,60,43341.675191331,-,-,0,-,43341.6752028935,"Ignored/trade,",PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:12:16 PM,-,-,-,8/29/2018 4:12:16 PM,-,-,-,-
180206.IB,4.3,indic/old,43341.6698209838,4.28375,4.29999900005,Wide,43341.6642944097,4.28,indic/old,43341.6698209838,4.285,real,43341.6642944097,4.3,0.1,8/29/2018 4:04:32 PM,4.28,2000,43341.6698209838,43341.6743055556,-,-,0.1,-,-,0.1,60,43341.6743055556,-,-,0,-,43341.6743159491,"Ignored/ask,bid,",cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:11:00 PM,-,-,-,8/29/2018 4:11:00 PM,-,-,-,-
180206.IB,4.3,real,43341.6698209838,4.28375,4.29999900005,Wide,43341.6642944097,4.28,real,43341.6698209838,4.285,real,43341.6642944097,4.3,0.1,8/29/2018 4:04:32 PM,4.28,2000,43341.6698209838,43341.6698209838,4.3,-,0.1,4.28,-,2000,60,43341.6698209838,-,-,0,-,43341.6698315972,"Ignored/trade,",CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:04:32 PM,-,-,-,8/29/2018 4:04:32 PM,-,-,-,-
180206.IB,4.285,indic/guess,43341.6642944097,4.28375,4.28499875031242,estimated,43341.6642944097,4.28,real,43341.6642944097,4.285,real,43341.6642944097,4.285,2000,8/29/2018 3:56:35 PM,4.28,2000,43341.6642944097,43341.6642944097,4.285,-,0,4.28,-,0,60,-,4.285,-,0,43341.6642944097,43341.6643256713,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:35 PM,-,-,-,8/29/2018 3:56:35 PM,-,-,-,-
180206.IB,4.285,real,43341.6642944097,4.2825,4.2825,Tight,43341.6642944097,4.28,real,43341.6642944097,4.285,real,43341.6642929398,4.285,2000,8/29/2018 3:56:35 PM,4.28,2000,43341.6642944097,43341.6642944097,4.285,-,2000,4.28,-,2000,60,43341.6642944097,-,-,0,-,43341.6643256713,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:35 PM,-,-,-,8/29/2018 3:56:35 PM,-,-,-,-
180206.IB,4.285,real,43341.664294375,4.2825,4.2825,Tight,43341.664294375,4.28,real,43341.664294375,4.285,real,43341.6642929398,4.285,2000,8/29/2018 3:56:35 PM,4.28,2000,43341.664294375,43341.664294375,4.285,-,2000,4.28,-,2000,60,43341.664294375,-,-,0,-,43341.6643283565,"Ignored/trade,",CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:35 PM,-,-,-,8/29/2018 3:56:35 PM,-,-,-,-
180206.IB,4.285,indic/guess,43341.6642929398,4.283125,4.28499875031242,estimated,43341.6642929398,4.28,real,43341.6642929398,4.285,real,43341.6642929398,4.2825,0.1,8/29/2018 3:56:34 PM,4.28,2000,43341.6642929398,43341.6642929398,4.2825,-,0,4.28,-,0,60,-,4.285,-,0,43341.6642929398,43341.6643153356,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.2825,real,43341.6642929398,4.28125,4.28249987500625,Tight,43341.6642929398,4.28,real,43341.6642929398,4.2825,real,43341.6642907523,4.2825,0.1,8/29/2018 3:56:34 PM,4.28,2000,43341.6642929398,43341.6642929398,4.2825,-,0.1,4.28,-,2000,60,43341.6642929398,-,-,0,-,43341.6643153356,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.2825,indic/guess,43341.6642907523,4.281875,4.28249937515621,estimated,43341.6642907523,4.28,real,43341.6642907523,4.2825,real,43341.6642907523,4.2825,0.1,8/29/2018 3:56:34 PM,4.28,2000,43341.6642907523,43341.6642907523,4.2825,-,0,4.28,-,0,60,-,4.2825,-,0,43341.6642907523,43341.6642916898,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.2825,real,43341.6642907523,4.28125,4.28249987500625,Tight,43341.6642907523,4.28,real,43341.6642907523,4.2825,estimated,43341.6642907523,4.2825,0.1,8/29/2018 3:56:34 PM,4.28,2000,43341.6642907523,43341.6642907523,4.2825,-,0.1,4.28,-,2000,60,43341.6642907523,-,-,0,-,43341.6642916898,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.3,real,43341.6642828125,4.2840625,4.29999900005,estimated,43341.6642828125,4.28,real,43341.6642828125,4.285,real,43341.6642828125,4.3,0.1,8/29/2018 3:56:34 PM,4.28,2000,43341.6642828125,43341.6642828125,4.3,-,0,4.28,-,0,60,-,4.285,-,0,43341.6642828125,43341.664325625,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.3,real,43341.6642828125,4.283125,4.29999900005,Wide,43341.6642828009,4.28,real,43341.6642828125,4.285,real,43341.6642828009,4.3,0.1,8/29/2018 3:56:34 PM,4.28,2000,43341.6642828125,43341.6642828125,4.3,-,0.1,4.28,-,2000,60,43341.6642828125,-,-,0,-,43341.664325625,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.285,indic/guess,43341.6642828009,4.283125,4.28499875031242,estimated,43341.6642828009,4.28,real,43341.6642828009,4.285,real,43341.6642828009,4.285,2000,8/29/2018 3:56:34 PM,4.28,2000,43341.6642828009,43341.6642828009,4.285,-,0,4.28,-,0,60,-,4.285,-,0,43341.6642828009,43341.6643255787,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.2825,indic/old,43341.6578071412,4.28125,4.28249987500625,Tight,43341.6642828009,4.28,real,43341.6642828009,4.28,real,43341.658287037,4.285,2000,8/29/2018 3:56:34 PM,4.28,2000,43341.6642828009,43341.6642828009,4.285,-,2000,4.28,-,2000,60,43341.6642828009,-,-,0,-,43341.6643255787,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:56:34 PM,-,-,-,8/29/2018 3:56:34 PM,-,-,-,-
180206.IB,4.2825,indic/old,43341.6578071412,4.27875,4.28249975000833,average,43341.6595215509,4.275,real,43341.6595215509,4.28,real,43341.658287037,4.3,1000,8/29/2018 3:47:56 PM,4.275,3000,43341.6595215509,43341.6595215509,-,-,0.1,4.275,-,3000,60,43341.6595215509,-,-,0,-,43341.6595323264,"Ignored/trade,",PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:49:42 PM,-,-,-,8/29/2018 3:49:42 PM,-,-,-,-
180206.IB,4.2825,indic/old,43341.6578071412,4.27875,4.28249975000833,average,43341.6594716551,4.275,real,43341.6594716551,4.28,real,43341.658287037,4.3,1000,8/29/2018 3:47:56 PM,4.275,3000,43341.6594716551,43341.6594716551,-,-,0.1,4.275,-,3000,60,43341.6594716551,-,-,0,-,43341.6594940162,"Ignored/trade,",PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:49:38 PM,-,-,-,8/29/2018 3:49:38 PM,-,-,-,-
180206.IB,4.2825,real,43341.6578071412,4.280625,4.28125,estimated,43341.658287037,4.275,indic/old,43341.658287037,4.28,real,43341.658287037,4.3,1000,8/29/2018 3:47:56 PM,4.28,5000,43341.658287037,43341.658287037,4.3,-,0,4.28,-,0,60,-,4.28,-,0,43341.658287037,43341.6582945602,Trade,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:47:56 PM,-,-,-,8/29/2018 3:47:56 PM,-,-,-,-
180206.IB,4.2825,real,43341.6578071412,4.28125,4.282499950001,Tight,43341.658287037,4.28,real,43341.658287037,4.28,real,43341.6576284491,4.3,1000,8/29/2018 3:47:56 PM,4.28,5000,43341.658287037,43341.658287037,4.3,-,1000,4.28,-,5000,60,43341.658287037,-,-,0,-,43341.6582945602,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:47:56 PM,-,-,-,8/29/2018 3:47:56 PM,-,-,-,-
180206.IB,4.2825,real,43341.6578071412,4.28125,4.28249987500625,Tight,43341.658212963,4.28,real,43341.6578071412,4.28,real,43341.6576284491,4.3,3000,8/29/2018 3:47:49 PM,4.275,3000,43341.658212963,43341.658212963,4.3,-,3000,4.275,-,3000,60,43341.658212963,-,-,0,-,43341.6586290046,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:47:49 PM,-,-,-,8/29/2018 3:47:49 PM,-,-,-,-
180206.IB,4.2825,real,43341.6578071412,4.28125,4.28249987500625,Tight,43341.6580092593,4.28,real,43341.6578071412,4.28,real,43341.6576284491,4.33000410669854,110000000,8/29/2018 3:47:32 PM,4.26999324969136,80000000,43341.6580092593,43341.6580092593,4.33000410669854,102.2269,110000000,4.26999324969136,102.5704,80000000,60,43341.6580092593,-,-,0,-,43341.6580339583,TwoSide,cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 3:47:32 PM,-,-,-,8/29/2018 3:47:32 PM,-,-,-,-
180206.IB,4.2825,real,43341.6578071412,4.28125,4.28249987500625,Tight,43341.6578071412,4.28,real,43341.6578071412,4.28,real,43341.6576284491,4.2825,0.1,8/29/2018 3:47:14 PM,4.28,2000,43341.6578071412,43341.6578071412,4.2825,-,0.1,4.28,-,2000,60,43341.6578071412,-,-,0,-,43341.6578180208,"Ignored/trade,",CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:47:14 PM,-,-,-,8/29/2018 3:47:14 PM,-,-,-,-
180206.IB,4.2825,real,43341.6577058565,4.28125,4.28249987500625,Tight,43341.6577058565,4.28,real,43341.6577058565,4.28,real,43341.6576284491,4.2825,0.1,8/29/2018 3:47:05 PM,4.28,2000,43341.6577058565,43341.6577058565,4.2825,-,0.1,4.28,-,2000,60,43341.6577058565,-,-,0,-,43341.6577167361,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:47:05 PM,-,-,-,8/29/2018 3:47:05 PM,-,-,-,-
180206.IB,4.2825,real,43341.6576291782,4.27875,4.28249975000833,Tight,43341.6576291782,4.275,real,43341.6576291782,4.28,real,43341.6576284491,4.2825,0.1,8/29/2018 3:46:59 PM,4.275,3000,43341.6576291782,43341.6576291782,4.2825,-,0.1,4.275,-,3000,60,43341.6576291782,-,-,0,-,43341.6576516088,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:46:59 PM,-,-,-,8/29/2018 3:46:59 PM,-,-,-,-
180206.IB,4.2825,real,43341.6576284491,4.280625,4.28041554161523,estimated,43341.6576284491,4.26999324969136,indic/old,43341.6576284491,4.28,real,43341.6576284491,4.2825,0.1,8/29/2018 3:46:59 PM,4.28,2000,43341.6576284491,43341.6576284491,4.2825,-,0,4.28,-,0,60,-,4.28,-,0,43341.6576284491,43341.6576509028,Trade,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:46:59 PM,-,-,-,8/29/2018 3:46:59 PM,-,-,-,-
180206.IB,4.2825,real,43341.6576284491,4.28125,4.28249987500625,Tight,43341.6576284491,4.28,real,43341.6576284491,4.28,real,43341.6561458333,4.2825,0.1,8/29/2018 3:46:59 PM,4.28,2000,43341.6576284491,43341.6576284491,4.2825,-,0.1,4.28,-,2000,60,43341.6576284491,-,-,0,-,43341.6576509028,TwoSide,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:46:59 PM,-,-,-,8/29/2018 3:46:59 PM,-,-,-,-
180206.IB,4.2825,real,43341.6575387616,4.28125,4.28249987500625,Tight,43341.6575387616,4.28,real,43341.6575387616,4.28,real,43341.6561458333,4.2825,0.1,8/29/2018 3:46:51 PM,4.28,2000,43341.6575387616,43341.6575387616,4.2825,-,0.1,4.28,-,2000,60,43341.6575387616,-,-,0,-,43341.6575496065,"Ignored/trade,",CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:46:51 PM,-,-,-,8/29/2018 3:46:51 PM,-,-,-,-
180206.IB,4.2825,indic/old,43341.6450800347,4.28,4.28249999998437,Wide,43341.6565856481,4.26999324969136,real,43341.6575,4.28,real,43341.6561458333,4.33000410669854,110000000,8/29/2018 3:46:48 PM,4.26999324969136,80000000,43341.6575,43341.6575,4.33000410669854,102.2269,110000000,4.26999324969136,102.5704,80000000,60,43341.6575,-,-,0,-,43341.6575115509,TwoSide,cfets,-,PRICE,180206.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 3:46:48 PM,-,-,-,8/29/2018 3:46:48 PM,-,-,-,-
