inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,indic/old,43335.4027477199,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.4027477199,43335.4194345718,-,-,0.1,-,-,0.1,60,43335.4194345718,-,-,0,-,43335.4194467708,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 10:03:59 AM,-,-,-,8/23/2018 10:03:59 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,indic/old,43335.4027477199,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.4027477199,43335.4046046181,-,-,0.1,-,-,0.1,60,43335.4046046181,-,-,0,-,43335.4044755324,Quote withdrawn,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:42:37 AM,-,-,-,8/23/2018 9:42:37 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,indic/old,43335.4027477199,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.4027477199,43335.4035532407,-,-,0.1,-,-,0.1,60,43335.4035532407,-,-,0,-,43335.4035617477,Quote withdrawn,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:41:07 AM,-,-,-,8/23/2018 9:41:07 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,indic/old,43335.4027477199,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.4027477199,43335.4031989005,-,-,0.1,-,-,0.1,60,43335.4031989005,-,-,0,-,43335.4035925463,Quote withdrawn,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:40:36 AM,-,-,-,8/23/2018 9:40:36 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,indic/old,43335.4027477199,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.4027477199,43335.4027477315,-,-,0.1,-,-,0.1,60,43335.4027477315,-,-,0,-,43335.40277,Quote withdrawn,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:39:57 AM,-,-,-,8/23/2018 9:39:57 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,real,43335.4027477199,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.4027477199,43335.4027477199,-,-,0.1,1.9,-,8000,60,43335.4027477199,-,-,0,-,43335.4027593519,AskOnly,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:39:57 AM,-,-,-,8/23/2018 9:39:57 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,real,43335.3964236111,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,5000,43335.3964236111,43335.3964236111,-,-,0.1,1.9,-,5000,60,43335.3964236111,-,-,0,-,43335.3964370023,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:30:51 AM,-,-,-,8/23/2018 9:30:51 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,real,43335.3938820486,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,8000,43335.3938820486,43335.3938820486,-,-,0.1,1.9,-,8000,60,43335.3938820486,-,-,0,-,43335.3938938542,AskOnly,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:27:11 AM,-,-,-,8/23/2018 9:27:11 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,indic/old,43335.392731088,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,5000,43335.392731088,43335.393882037,-,-,0.1,-,-,0.1,60,43335.393882037,-,-,0,-,43335.3938937847,Quote withdrawn,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:27:11 AM,-,-,-,8/23/2018 9:27:11 AM,-,-,-,-
150217.IB,2,indic/old,43332.637058125,1.9025,1.98333333333333,Wide,43332.6367708333,1.9,real,43335.392731088,1.9,real,43332.6361698264,2.1,0.1,8/22/2018 11:23:38 AM,1.9,5000,43335.392731088,43335.392731088,-,-,0.1,1.9,-,5000,60,43335.392731088,-,-,0,-,43335.3927195718,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 9:25:31 AM,-,-,-,8/23/2018 9:25:31 AM,-,-,-,-
