inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
160218.IB,3.92,indic/old,43341.6264162037,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5876041667,3.92,estimated,43341.3958912037,3.92,3000,8/29/2018 3:02:02 PM,3.86,3000,43341.7004292361,43341.7004292361,-,-,0.1,3.86,-,3000,60,43341.7004292361,-,-,0,-,43341.7004542361,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:48:37 PM,-,-,-,8/29/2018 4:48:37 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.6264162037,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5876041667,3.92,estimated,43341.3958912037,3.92,3000,8/29/2018 3:02:02 PM,3.75,3000,43341.6329215046,43341.6743402778,-,-,0.1,-,-,0.1,60,43341.6743402778,-,-,0,-,43341.674370463,"Ignored/ask,bid,",cfets,-,PRICE,160218.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:11:03 PM,-,-,-,8/29/2018 4:11:03 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.6264162037,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5876041667,3.92,estimated,43341.3958912037,3.92,3000,8/29/2018 3:02:02 PM,3.75,3000,43341.6329215046,43341.6329215046,-,-,0.1,3.75,-,3000,60,43341.6329215046,-,-,0,-,43341.6329333102,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:11:24 PM,-,-,-,8/29/2018 3:11:24 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.6264162037,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5876041667,3.92,estimated,43341.3958912037,3.92,3000,8/29/2018 3:02:02 PM,3.81978577039293,30000000,43341.5890509259,43341.626705625,-,-,0.1,-,-,0.1,60,43341.626705625,-,-,0,-,43341.6264516204,Quote withdrawn,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:02:27 PM,-,-,-,8/29/2018 3:02:27 PM,-,-,-,-
160218.IB,3.92,real,43341.6264162037,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5876041667,3.92,estimated,43341.3958912037,3.92,3000,8/29/2018 3:02:02 PM,3.81978577039293,30000000,43341.5890509259,43341.6264162037,3.92,-,3000,-,-,0.1,60,43341.6264162037,-,-,0,-,43341.6264510764,BidOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:02:02 PM,-,-,-,8/29/2018 3:02:02 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.5384143519,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5876041667,3.92,estimated,43341.3958912037,3.99999439823632,50000000,8/29/2018 2:08:14 PM,3.81978577039293,30000000,43341.5890509259,43341.5890509259,3.99999439823632,98.2694,50000000,3.81978577039293,98.8086,30000000,60,43341.5890509259,-,-,0,-,43341.5893798264,TwoSide,cfets,-,PRICE,160218.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 2:08:14 PM,-,-,-,8/29/2018 2:08:14 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.5384143519,3.9175,3.9,Wide,43341.3958912037,3.88,real,43341.5876041667,3.92,estimated,43341.3958912037,3.99999439823632,50000000,8/29/2018 1:04:52 PM,3.88,3000,43341.5876041667,43341.5876041667,-,-,0.1,3.88,-,3000,60,43341.5876041667,-,-,0,-,43341.5876123264,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:06:09 PM,-,-,-,8/29/2018 2:06:09 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.5384143519,3.9175,3.9,Wide,43341.3958912037,3.88,real,43341.5727387037,3.92,estimated,43341.3958912037,3.99999439823632,50000000,8/29/2018 1:04:52 PM,3.88,3000,43341.5727387037,43341.5727387037,-,-,0.1,3.88,-,3000,60,43341.5727387037,-,-,0,-,43341.5727386111,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:44:44 PM,-,-,-,8/29/2018 1:44:44 PM,-,-,-,-
160218.IB,3.92,indic/old,43341.5384143519,3.9175,3.9,Wide,43341.3958912037,3.88,indic/old,43341.5384143519,3.92,estimated,43341.3958912037,3.99999439823632,50000000,8/29/2018 1:04:52 PM,3.81978577039293,30000000,43341.5450462963,43341.5450462963,3.99999439823632,98.2694,50000000,3.81978577039293,98.8086,30000000,60,43341.5450462963,-,-,0,-,43341.5450679398,TwoSide,cfets,-,PRICE,160218.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 1:04:52 PM,-,-,-,8/29/2018 1:04:52 PM,-,-,-,-
160218.IB,3.92,real,43341.5384143519,3.9175,3.9,Wide,43341.3958912037,3.88,real,43341.5384143519,3.92,estimated,43341.3958912037,3.92,3000,8/29/2018 12:55:19 PM,3.88,3000,43341.5384143519,43341.5384143519,3.92,-,3000,3.88,-,3000,60,43341.5384143519,-,-,0,-,43341.538422581,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 12:55:19 PM,-,-,-,8/29/2018 12:55:19 PM,-,-,-,-
