inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.5803464352,3.94,estimated,43340.5541721181,4.02,5000,8/29/2018 10:37:32 AM,3.94,5000,43341.5803464352,43341.5803464352,-,-,0.1,3.94,-,5000,60,43341.5803464352,-,-,0,-,43341.5803574653,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:55:41 PM,-,-,-,8/29/2018 1:55:41 PM,-,-,-,-
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.4798032407,3.94,estimated,43340.5541721181,4.02,5000,8/29/2018 10:37:32 AM,3.94,5000,43341.4798032407,43341.4798032407,-,-,0.1,3.94,-,5000,60,43341.4798032407,-,-,0,-,43341.4798099653,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 11:30:55 AM,-,-,-,8/29/2018 11:30:55 AM,-,-,-,-
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.4427314815,3.94,estimated,43340.5541721181,4.02,5000,8/29/2018 10:37:32 AM,3.94,5000,43341.4427314815,43341.4427314815,4.02,-,5000,3.94,-,5000,60,43341.4427314815,-,-,0,-,43341.4427393634,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 10:37:32 AM,-,-,-,8/29/2018 10:37:32 AM,-,-,-,-
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,indic/old,43341.3787759491,3.94,estimated,43340.5541721181,4.10000938586304,100000000,8/29/2018 9:17:01 AM,3.80011226107685,80000000,43341.3868171296,43341.3868171296,4.10000938586304,100.2825,100000000,3.80011226107685,101.2957,80000000,60,43341.3868171296,-,-,0,-,43341.3868225231,TwoSide,cfets,-,PRICE,1702002.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 9:17:01 AM,-,-,-,8/29/2018 9:17:01 AM,-,-,-,-
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,indic/old,43341.3787759491,3.94,estimated,43340.5541721181,4.10000938586304,50000000,8/29/2018 9:16:44 AM,3.80011226107685,30000000,43341.3866203704,43341.3866203704,4.10000938586304,100.2825,50000000,3.80011226107685,101.2957,30000000,60,43341.3866203704,-,-,0,-,43341.3866357523,TwoSide,cfets,-,PRICE,1702002.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 9:16:44 AM,-,-,-,8/29/2018 9:16:44 AM,-,-,-,-
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.3787759491,3.94,estimated,43340.5541721181,4.05,2000,8/29/2018 9:05:26 AM,3.94,5000,43341.3787759491,43341.3787759491,4.05,-,2000,3.94,-,5000,60,43341.3787759491,-,-,0,-,43341.3791955903,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:05:26 AM,-,-,-,8/29/2018 9:05:26 AM,-,-,-,-
1702002.IB,4,indic/old,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.3786197569,3.94,estimated,43340.5541721181,4.02,2000,8/29/2018 9:05:12 AM,3.94,5000,43341.3786197569,43341.3786197569,4.02,-,2000,3.94,-,5000,60,43341.3786197569,-,-,0,-,43341.3790281597,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:05:12 AM,-,-,-,8/29/2018 9:05:12 AM,-,-,-,-
1702002.IB,4,real,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.3768229977,3.94,estimated,43340.5541721181,4,5000,8/29/2018 9:02:01 AM,3.94,5000,43341.3768229977,43341.3768229977,-,-,0.1,3.94,-,5000,60,43341.3768229977,-,-,0,-,43341.3768271991,AskOnly,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:02:37 AM,-,-,-,8/29/2018 9:02:37 AM,-,-,-,-
1702002.IB,4,real,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.3764503357,3.94,estimated,43340.5541721181,4,5000,8/29/2018 9:02:01 AM,3.94,5000,43341.3764503357,43341.3764503357,-,-,0.1,3.94,-,5000,60,43341.3764503357,-,-,0,-,43341.3764779167,AskOnly,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:02:05 AM,-,-,-,8/29/2018 9:02:05 AM,-,-,-,-
1702002.IB,4,real,43341.3764047338,3.9425,3.97,Wide,43340.5541721181,3.94,real,43341.3764047338,3.94,estimated,43340.5541721181,4,5000,8/29/2018 9:02:01 AM,3.94,5000,43341.3764047338,43341.3764047338,4,-,5000,3.94,-,5000,60,43341.3764047338,-,-,0,-,43341.3764325116,TwoSide,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:02:01 AM,-,-,-,8/29/2018 9:02:01 AM,-,-,-,-
